脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
雨点@音符@雨点犹如音符般零落下来	仿佛奏鸣着动人的旋律。
生活@险峰@生活如一座座入云的险峰	只有毅力坚强的人才能不断地征服它们。
云@天空@天空的云从西边一直烧到东边，好像是天空着了火	红堂堂的。
骄傲@敌人@骄傲是胜利的敌人	努力是成功的朋友。
倒影@画儿@水里的倒影像画儿一般	朦胧美，美朦胧。
夜幕@巨人@夜幕四合，像沮丧的巨人	周围的群山。
老师@粉笔@老师是一根根粉笔	在黑板上无私奉献的教授我们知识。
校园@歌@校园是一首歌	在我烦闷时为我唱响。
云@绵羊@天上的云像一只只绵羊在嬉戏；又像一朵朵白色的花	就要绽开似的。
音乐@小溪@音乐像流淌的小溪	抒发轻快的畅想。
石头@城堡@坚硬的石头像一个坚不可摧的城堡	不管你多用力的敲打也只是浪费力气，只能拂去表面的灰层。
星星@萤火虫@夜晚的星星就像湖面上的萤火虫	可以眨着眼睛和我们交流心中的秘密。
银杏叶@蝴蝶@秋天的银杏叶像一只只红艳艳的大蝴蝶	正在翩翩起舞地联欢呢。
书@景色@书是韵味无穷的景色	让人心旷神怡。
爱@春风@如果说爱是三月淅沥的春风	感恩就是小草吐露的新绿。
爱心@泉水@爱心如出现在沙漠的泉水	使面临绝境的人重新看到生活的希望。
大@气球@泡泡一个接一个地飞了出来它们大的像气球小的像珍珠	五颜六色好看极了。
母亲@闹钟@母亲是我的闹钟	天天准时把我唤醒。
海浪@千军万马@如巨雷般的海浪像千军万马席地而卷	在呐喊、嘶鸣中向下游奔去。
荷叶@圆盘@碧绿的荷叶像一个个大圆盘似的铺在水面上	挨挨挤挤，把荷花衬托得更加娇艳。
燕子@小精灵@小燕子像一个快乐的小精灵	在我家房前翩翩起舞。
瞬间@大街@一排排的路灯瞬间被点亮了，像一颗颗夜明珠似的布满了繁华的大街	忽然，
奉献@绿叶@奉献是躲在红花下的绿叶	为花儿增添色彩。
时间@美酒@时间像一坛美酒	为我们酝酿人生阅历的馥郁。
和谐@白雪@和谐是令人心折的白雪	感受白雪，我们的内心会变得纯净和平。
狗@纸@这只狗像纸做的一样	仿佛被风一吹它就会飞走了。
家乡@桥@家乡是一座桥	跨立在心的中央。
开@脸蛋儿@花开了，像在扬着脸蛋儿对人们微笑	一个个鲜艳美丽。
时@黑海@一双黑亮黑亮的大眼睛凝眸时如波澜不兴的黑海	流动时如空中飞走的星星。
白帆@蝴蝶@渔船都扬起白帆，仿佛是成群结队翩翩飞舞的白蝴蝶	往来拉网。
白云@汽车@天上的白云形态各异像汽车	什么样子的都有。
随风@秀发@柳树的枝叶随风飘动就像是少女的秀发	那枝条撞击的声音好似一位技艺高超的歌唱加在演唱优美歌曲。
时间@箭@时间是一把箭	射出去便不会再回来。
树叶@蝴蝶@广场上的树叶纷纷落地，像一群蝴蝶飞下来	秋天，
勇敢@嘴@勇敢是嘴	唱出心中的梦。
秋天@画卷@秋天是一幅美丽的画卷	充满诗情画意。
天空@颜料@天空像打翻的红颜料涂抹的一样	美丽的红色一片。
母爱@咖啡@母爱像一杯咖啡	为你温暖心窝。
挫折@火@挫折是火	烧净你自私无知的心灵。
星斗@眼@满天的星斗像一双双亮堂的双眼	一眨一眨的格外诱人。
小草@天使@小草是绿色的天使	让大地充满生机。
月亮@明灯@月亮出来了像一盏明灯	高悬在天幕上。
稻子@颜色@金黄色的稻子像用暖黄色的颜色冲洗过一遍	明艳、闪亮而温暖。
灯塔@太阳@灯塔像太阳	让我在寒冷的冬天也感受到春天的温暖。
梦想@夏天@梦想是夏天	开出了希望的花朵。
黑板@桥@黑板像一座桥	是一座架设在师生之间的知识之桥。
父亲@北斗@父亲像北斗	即使在伸手不见五指的夜里，也能让我辨明方向。
感情@饼干@感情有时候像一块巧克力饼干	咬得太多不免会感觉舌燥口干，把它泡进水里浑身便涨得发酸。
父亲@茶@父亲是一杯茶	让你的事业即使处于低潮时感到苦涩，也能在细细品味后满口芳香与甘甜。
友善@根@友善是一个人心中的根	人们的友善在心的深处徘徊而升华。
柚子@大葫芦@柚子个儿最大最显眼像个大葫芦我上前搬起一个大柚子哇好沉呐上面布满了一个个小坑像哪个胖子得了天花	落下了一脸的麻子。
青春@花蕾@青春是一朵含苞欲放的花蕾	欲向世界展现独自的风姿。
爱心@拐杖@爱心是拐杖	给失望者送去支撑下去的力量。
坚强@斧子@坚强是划破天地的斧子	力量让宇宙为之一颤。
荷花@泼墨画@荷花很美丽，真好似一幅泼墨画呀	粉红的在雾中若隐若现。
走路@过@就连走路也是一阵风而过	他是一个雷厉风行的人，
菊花@小姑娘@有的菊花像一个害羞的小姑娘	把花瓣一个个的向里卷。
太阳@小孩@初升的太阳像小孩捉迷藏一样	探出脑袋，小脸红扑扑的。
长江@长龙@长江好像一条蜿蜒起伏的长龙	浩浩荡荡的流向天边。
机会@诗@机会是一首诗	优美自然。
朋友@花朵@朋友是花朵	在你伤心是送来一速芬芳。
机会@火@机会是冬天里的一把火	它温暖了我们的心灵，温暖了世界的每一个角落。
柿子@花灯@黄澄澄的柿子熟了，像一个个忍不住让人想去摘下的花灯	秋天，
书@扁@书是一叶扁舟	带你遨游知识的海洋。
絮花@雪花@柳树的絮花就好像冬天那洁白的雪花	颜色就好像马蹄莲一般。
大豆@珍珠@颗粒饱满的大豆如珍珠般从手掌中一粒粒滚落而下	又是一个丰收年。
友谊@彩绸@友谊如彩绸	我们共同剪裁缝制成一件件绚丽的衣衫。
形状@泡泡@橘子形状圆圆，小的像泡泡一样大小	大有小。
微笑@旋律@微笑像一曲充满温情的旋律	使心灵枯萎的人得到情感的滋润。
安全@火@安全是火	点燃了生命之灯。
枝条@雪花@冬天一层层雪花覆盖在光秃秃的枝条上像是雪花在帮助它们遮挡风寒	让它成为一位美丽的大姑娘。
孝顺@阳光@孝顺是一缕和煦的阳光	能消融凝结在人们心头的坚冰。
课桌@战场@我的课桌好似成了战场	只见一个个士兵人偶在上面摆开架势准备开战。
烟@云@烟囱里冒出来一缕缕的烟像一缕缕灰色的云	圣诞树上点着几千只摇头默默吟唱的蜡烛。
微笑@甘霖@微笑是久旱后的一场甘霖	滋润了龟裂的心田。
微笑@春风@微笑像一阵温暖的春风	沐浴着心中的感动。
金色@小金山@院子里一片金色，像一坐坐小金山	黄澄澄的玉米一堆又一堆。
心@老虎@心像被老虎钳子钳住在纹拧	他全身的血液，
亲情@小舟@亲情是汪洋大海上的那叶小舟	拯救了挣扎着在其中的人们。
喇叭花@广播@喇叭花就像小广播	陪伴我们学习成长。
桂花@蝴蝶@桂花仿佛一只只金灿灿的蝴蝶	翩翩地飞落地面。
理想@甘泉@理想是沙漠中的一眼甘泉	让干枯的行者看到生的希望。
自私@玻璃@自私是一层玻璃	看上去透明，却始终隔开了彼此的距离。
光@歌曲@远处的小树林闪着绿幽幽的光，像是唱着一支动听的歌曲	在微风中轻轻摇响绿叶。
爱@沙子@爱就像手中的一把沙子	你越想紧紧抓住，它就会流失得越快。
悲伤@锁@悲伤是挂在心头上的一把锁	而快乐是开锁的那把钥匙。
稻子@金子@稻子竟一夜之间熟了，像铺了一地的金子	秋天不经意的向我们走来了，
机会@山水画@机会是一幅山水画	洗去铅华雕饰，留下清新自然。
大雪@羽毛@大雪像片片洁白的羽毛	纷纷扬扬地飘落到地上。
橘子@灯笼@成熟的橘子像小灯笼也像调皮的乒乓球	小橘子外皮光滑而又柔软。
月季@礼花@月季开了，像春节燃放的礼花	真漂亮。
勤奋@航轮@勤奋是一艘艘航轮	帮你抵达彼岸。
机会@歌@机会是一首歌	奏着高低不一的音符。
微笑@春风@微笑像同一缕春风	拂去我们心灵的忧伤。
大山@围脖@大山仿佛被一条长长的围脖所覆盖	遥望山间的松树林，
身体@翡翠球@仙人球的身体像一个翡翠球	全身布满了一根根钢针一样的刺。
春天@橡皮@春天像一块橡皮把冬天二字永远擦去春天像未来的希望	激励我们不断前进。
生活@一面@生活像一面镜子	走进生活，世间善恶、美丑都可以映出来。
枝头@小姑娘@红艳艳的西红柿缀满了枝头，像个害羞的小姑娘	散发出诱人的清香。
尾巴@辫子@大象的大屁股后面有一条尾巴，像小辫子	真有趣。
家庭@根@家庭像根	永远是树叶的家。
书@花朵@书是花朵	给人们洒满迷人的芳香。
父亲@蜡烛@父亲是一个蜡烛	悄悄的为你点燃。
梨花@脸庞@盛开的梨花像孩童的脸庞	充满快乐、天真。
父亲@蜡烛@父亲像一个蜡烛	悄悄的为你点燃。
科学@海洋@科学是浩瀚无垠的海洋	让人肆意遨游、科学是沁人心脾的花香，让人回味无穷。
脸色@落日@他的脸色骤然大变，红得就像丹拜画中的落日	怒容满面。
小船@细钩@慢慢地月亮成了小船一般接着像弯弯的细钩	天色越来越暗。
热情@阳光@如果热情是一缕阳光	就照亮所有黑暗。
叶恍@皇冠@梧桐树叶恍如一顶顶金色的皇冠	在枝头招摇。
左摇右摆@少女@树叶在空中左摇右摆，像少女在空中起舞	那般美妙绝伦。
贝壳@星星@海边有很多五色的贝壳，像天上的星星	数也数不清。
成长@花@成长是一朵花	总是在你不知不觉的情况下开满山头。
故乡@灯塔@故乡是灯塔	让人看清前进的方向。
荷叶@莲花@湖面上葱绿的荷叶，如少女分红的面颊的莲花	托出朵朵芙蓉。
感恩@太阳@感恩是春天温暖的太阳	融化大地的冰霜。
广场@星星@节日的广场像(天上璀璨的星星把整个节日渲染的像人间天堂)天上的彩虹	天衣无缝)。
西湖@碧玉@西湖像一块碧玉	一面镜子。
诚信@孩子@诚信是什么？活泼好动的孩子说诚信是两根纤小的手指	拉过钩儿就永不反悔。
小船@落叶@小船像落叶一样飘摇不定	在广阔的大海上，
老师@明灯@老师仿佛是一盏明灯	照亮着我们未来的路。
逆境@桥@逆境是桥	它能使你到达理想的彼岸。
麦田@河流@金色的麦田就像美丽的河流	麦浪由远及近的飘过，像婀娜多姿的少女摇着她柔软的腰肢。
春天@舞蹈@春天像一个优美的舞蹈	让世界充满微笑。
秋天@图画@秋天像一幅金色的图画	到处是丰收的景象。
成长@小说@成长就像一部小说	任何时刻都可以峰回路转。
晚霞@彩带@晚霞像一条条五彩缤纷的彩带	在夕阳的沐浴下飞舞。
朋友@明灯@朋友是失败苦闷中的一盏明灯	默默地为你驱赶心灵的阴翳。
"@宝物@爸爸两眼盯着我的"；三好奖状"；，好像在看着一件价值连城的宝物	站立在那里出神。
稻子@珍珠@那沉甸甸的稻子，像一垄垄金黄的珍珠	真是喜煞人啊。
父爱@泪@父爱是一滴泪	一滴包含温度、概括全部语言的泪水。
生活@纸@生活像一张纸	你要用一生的时间来描绘出一幅动人的画卷。
诚信@根@诚信像根	将魄力与智慧提供给生长中的树干，使小苗长成大树。
家@小诗@家像一首小诗	一首欢乐的小诗，它记载着我们家愉快的往事。
月季花@鸿雁@月季花像鸿雁一样守信	每月都欢乐地绽放。
蝴蝶@女子@春天的蝴蝶就犹如美丽的女子	在花间里翩然起舞。
书@帆船@书是帆船	能通往成功彼岸。
时候@梅花@孔雀开屏的时候，就像雪白的梅花一样	我看见孔雀尾巴上有一团白色的绒毛。
好@时间@周围安静得好像时间停滞了一样	仿佛一个动作就能将这平静击破。
家@太阳@家像一轮太阳	一轮温暖的太阳，它沐浴着我这颗纯洁的心灵。
时间@海绵@时间像含水的海绵	挤得再多也总会拥有。
生活@茶@生活像一杯茶	只有用心去品尝，才知道其中的滋味。
好@小姑娘@花开了，好像一个害羞的小姑娘	有一些花一团团的。
草地@绿色@草地真绿像画家手下那鲜艳的调色盘里的绿色	那么清新。
幸福@花@幸福是花	它需要有心灵土壤的培育。
家园@红日@家园是一轮灿烂的红日	驱散游子的乡愁。
月牙@镰刀@天上的月牙像弯弯的镰刀	这又高又厚的磨刀石，被磨成了月牙似的。
树叶@蝴蝶@树叶一片片落下来了像翩翩起舞的蝴蝶	秋天到了，
时候@小汽艇@小鸭子凫水的时候，就像小汽艇一样稳稳地向前游动	两蹼轻轻往后一蹬。
花儿@小朋友@花儿像小朋友一样醒了妹妹张开了笑脸	春天到了，
山峰@闸门@群山的山峰，像闸门	夜幕四合，
孝顺@小曲@孝顺是一首暖暖的小曲	解释父母的情怀。
生活@歌@生活是一首歌	歌到情处泪双流。
嘴@手@鸟儿的嘴像人的手一样灵活	看见虫子迅速的伸出尖嘴捉住它。
猫@白球@猫像一团跳跃的白球	不停地在我脚下窜来窜去。
头@酒@一片火红的高粱骄傲地昂着头，好像喝醉了酒	涨红了脸。
红旗@烈焰@血染的红旗犹如沸腾的烈焰	让我们的内心热血澎湃。
夜幕@卧佛@夜幕四合，像卧佛	群山的山峰。
云朵@天空@雪白的云朵像一群群受到惊吓的大白鹅一样在天空中快速地移动着	风儿轻轻地吹着，
桃花@阳光@粉得如蝶的水红色桃花更美了，就像一个穿着薄如蝉翼的芭蕾舞裙的小姑娘在阳光下跳舞	远看。
幸福@礼物@幸福是上帝的礼物	是每个天使在人们心中悄然种下的梦。
北风@鼓风机@北风像马力十足的鼓风机呼呼地刮着	冬天到了，
太阳@个@太阳像个大火球	炙烤着大地。
松树@宝塔@远看松树像一座高大入云的宝塔	还像是一个巨人。
微笑@小溪@微笑是夏天里的小溪	冰冰的，凉凉的。
尾巴@扫把@松鼠的尾巴像一把毛绒绒的扫把	真漂亮。
雪花@天使@雪花像一群小天使在跳舞	我太喜欢下雪天了。
喇叭@键@火车的汽笛挑战一样地尖叫，汽车的喇叭好像一个巨大的手风琴的键一样地呜响	电车发出叮堂辗轧和摩擦的声音。
友情@泉水@友情像一股甜甜的泉水	使不幸的人忘记生活的苦涩。
春风@彩笔@春风像一支彩笔	把整个世界勾勒得更加绚丽多彩。
乌云@帘布@乌云像一个帘布	把山脉隐藏起来，人们的肉眼难以辨认。
花骨朵@火炬@花骨朵像火炬似的高高伸出	雅洁的荷花有的含苞欲放，
